Bahasa Melayu - Membaca dan Menulis,,,,,,,
,,,,,,,
No,Tajuk,Public Link (Canva embeddable) Pembelajaran,Public Link (Canva embeddable) Latihan Membaca,Public Link (Canva embeddable) Latihan Menulis,Video Link,,
1,Kenali Huruf Besar (A-Z),https://www.canva.com/design/DAG_kYO30XE/zqjNTVY9TL02eFyLI336jA/view?utm_content=DAG_kYO30XE&utm_campaign=designshare&utm_medium=link2&utm_source=uniquelinks&utlId=hfdace09982,https://www.canva.com/design/DAG_rMT_6Xk/v2ZlbkZpr1749u21cpBVjA/view?utm_content=DAG_rMT_6Xk&utm_campaign=designshare&utm_medium=link2&utm_source=uniquelinks&utlId=hd96fa05952,https://www.canva.com/design/DAHAWEXencI/8BNYvUTHSxAViw1ljEqCzQ/view?utm_content=DAHAWEXencI&utm_campaign=designshare&utm_medium=link2&utm_source=uniquelinks&utlId=ha1a5ad05cf,,,
2,Kenali Huruf Kecil (a-z),https://www.canva.com/design/DAG_l9nmj94/8bTngWc8muqAP6V336qf1w/view?utm_content=DAG_l9nmj94&utm_campaign=designshare&utm_medium=link2&utm_source=uniquelinks&utlId=hfa29aaef7b,https://www.canva.com/design/DAG_fyxVIXY/taipvS3mQDBPjMtUS__FBg/view?utm_content=DAG_fyxVIXY&utm_campaign=designshare&utm_medium=link2&utm_source=uniquelinks&utlId=h69a3698528,https://www.canva.com/design/DAHAWM7X6wU/fK5W_FXPfeBiFuoqWK2MBQ/view?utm_content=DAHAWM7X6wU&utm_campaign=designshare&utm_medium=link2&utm_source=uniquelinks&utlId=h2d290a5b71,,,
3,Suku Kata Terbuka ,https://www.canva.com/design/DAG_mMxA4xM/cUgWcoxrW6aXTrjtPbbq-Q/view?utm_content=DAG_mMxA4xM&utm_campaign=designshare&utm_medium=link2&utm_source=uniquelinks&utlId=h572c90404f,https://www.canva.com/design/DAG_rNciy70/O0WB7gG6yugew5e7sXicmQ/view?utm_content=DAG_rNciy70&utm_campaign=designshare&utm_medium=link2&utm_source=uniquelinks&utlId=h0c3a143938,https://www.canva.com/design/DAHAWJ0Py8k/JZOBtKs_ua-a6TA_q4Itzg/view?utm_content=DAHAWJ0Py8k&utm_campaign=designshare&utm_medium=link2&utm_source=uniquelinks&utlId=hb43e0a095d,https://youtu.be/MvtSVTGd6Bo,https://youtu.be/5MXJpjcegrk,https://www.youtube.com/watch?v=syGSXy2RhS4
4,Perkataan 2 Suku Kata (Bahagian 1),https://www.canva.com/design/DAG_mD6tgbs/kqyFlx-xmSkJmnPNLkZL1w/view?utm_content=DAG_mD6tgbs&utm_campaign=designshare&utm_medium=link2&utm_source=uniquelinks&utlId=h6537cb987a,https://www.canva.com/design/DAG_rGmlxBk/oYnzaSiLr1QtQlMJX8G0HQ/view?utm_content=DAG_rGmlxBk&utm_campaign=designshare&utm_medium=link2&utm_source=uniquelinks&utlId=hf4a01358df,https://www.canva.com/design/DAHAWAedoqI/94_awDok4zgQ0dEEuZuZvQ/view?utm_content=DAHAWAedoqI&utm_campaign=designshare&utm_medium=link2&utm_source=uniquelinks&utlId=h584bc3fd59,https://www.youtube.com/watch?v=1ycsTx5oUkM,,
5,Perkataan 2 Suku Kata (Bahagian 2),https://www.canva.com/design/DAG_mMqMNZA/IhAac_AzUvOmGQHCw2H3SQ/view?utm_content=DAG_mMqMNZA&utm_campaign=designshare&utm_medium=link2&utm_source=uniquelinks&utlId=h2382a47a9d,https://www.canva.com/design/DAG_rPMZqQQ/hcPFushSwkkakmcnMSlbog/view?utm_content=DAG_rPMZqQQ&utm_campaign=designshare&utm_medium=link2&utm_source=uniquelinks&utlId=hb5d2ec3c03,https://www.canva.com/design/DAHAWRzpx2c/Kkcjz0Us5UGXShpRP-sLaA/view?utm_content=DAHAWRzpx2c&utm_campaign=designshare&utm_medium=link2&utm_source=uniquelinks&utlId=hf7c018fdbd,https://www.youtube.com/watch?v=uayq8tlgZqM,https://www.youtube.com/watch?v=3xY39r_3byM,https://www.youtube.com/watch?v=TbNjB2iJg_E
6,Perkataan 3 Suku Kata (Bahagian 1),https://www.canva.com/design/DAG_mTOF7eY/aJ_VUgTmlSOtAEPiDkoxSg/view?utm_content=DAG_mTOF7eY&utm_campaign=designshare&utm_medium=link2&utm_source=uniquelinks&utlId=hb5c69fd4be,https://www.canva.com/design/DAHAcCpIGeQ/jgjEocr-NAE0CvBCqJUAAw/view?utm_content=DAHAcCpIGeQ&utm_campaign=designshare&utm_medium=link2&utm_source=uniquelinks&utlId=he5af78125b,https://www.canva.com/design/DAHAae-tah8/lc28dE86G9bdTJZ7keMqJg/view?utm_content=DAHAae-tah8&utm_campaign=designshare&utm_medium=link2&utm_source=uniquelinks&utlId=h0a367556aa,https://www.youtube.com/watch?v=fcSSSLkTWJE,,
7,Perkataan 1 Suku Kata (Bahagian 1),https://www.canva.com/design/DAG_qXKi5cw/L2NKztE5cflwtEFpJ1rdcQ/view?utm_content=DAG_qXKi5cw&utm_campaign=designshare&utm_medium=link2&utm_source=uniquelinks&utlId=h73dc0db5a0,https://www.canva.com/design/DAHAcBTsw6A/fhP4O-J7Sav21LMGFAxrJQ/view?utm_content=DAHAcBTsw6A&utm_campaign=designshare&utm_medium=link2&utm_source=uniquelinks&utlId=hda1392bee3,https://www.canva.com/design/DAHAajCu2ew/kLXwkpgdsjkH-Vt301KiGQ/view?utm_content=DAHAajCu2ew&utm_campaign=designshare&utm_medium=link2&utm_source=uniquelinks&utlId=h72b2275656,https://www.youtube.com/watch?v=ZaDLQ4u1okU,,
8,Perkataan 2 Suku Kata (Bahagian 3),https://www.canva.com/design/DAG_qfcFwz8/tzCmpkAFME16dTJgIzJ6Pw/view?utm_content=DAG_qfcFwz8&utm_campaign=designshare&utm_medium=link2&utm_source=uniquelinks&utlId=h55e8e21ee1,https://www.canva.com/design/DAHAcMbP69s/-K2KuJHy6PTkn9OTxEalCg/view?utm_content=DAHAcMbP69s&utm_campaign=designshare&utm_medium=link2&utm_source=uniquelinks&utlId=hb60ca912d8,https://www.canva.com/design/DAHAajRuBM4/O7JAPMzlCHEr_R02z4e9Jw/view?utm_content=DAHAajRuBM4&utm_campaign=designshare&utm_medium=link2&utm_source=uniquelinks&utlId=ha9f4ebae03,,,
9,Perkataan 3 Suku Kata (Bahagian 2),https://www.canva.com/design/DAG_qaIpLgk/dtaCJG0j_IT6TfVU2jw-5w/view?utm_content=DAG_qaIpLgk&utm_campaign=designshare&utm_medium=link2&utm_source=uniquelinks&utlId=h6b0a088494,https://www.canva.com/design/DAHAcN2cprk/jS8lZwz87w6IyLmdma0vMQ/view?utm_content=DAHAcN2cprk&utm_campaign=designshare&utm_medium=link2&utm_source=uniquelinks&utlId=h7473ede5d1,https://www.canva.com/design/DAHAaoiafsk/yEiVu9dyeU1aEhBKOuniaQ/view?utm_content=DAHAaoiafsk&utm_campaign=designshare&utm_medium=link2&utm_source=uniquelinks&utlId=hfcac38dc48,,,
10,Perkataan 2 Suku Kata (Bahagian 4),https://www.canva.com/design/DAGxDtCKrlQ/m6PaUS0QK5SI45adz6-0og/view?utm_content=DAGxDtCKrlQ&utm_campaign=designshare&utm_medium=link2&utm_source=uniquelinks&utlId=h21d7d7b496,https://www.canva.com/design/DAHAcPtO-sU/-KDuU54HXN2anr-P2EdCjQ/view?utm_content=DAHAcPtO-sU&utm_campaign=designshare&utm_medium=link2&utm_source=uniquelinks&utlId=hb5e9efc589,https://www.canva.com/design/DAHAa3IMj_8/BjgwLHXfyIHnlbbGt3tbtA/view?utm_content=DAHAa3IMj_8&utm_campaign=designshare&utm_medium=link2&utm_source=uniquelinks&utlId=he66e9b0979,https://www.youtube.com/watch?v=teBBmM61cWI,https://www.youtube.com/watch?v=QE1bq17lang,https://www.youtube.com/watch?v=LD9Diq3HX8c&feature=youtu.be
